"","Site","TransectDepth","Replicate","SiteID","Richness","Abundance","Biomass","Hi_Lo","HabVar","CreVar","AlgVar","SiteSpeedMean"
"1","Anniversary",3,1,"Anniversary_3_1",4,34,976.12,"Lo",5,10,100,4.06580758807588
"2","Anniversary",3,2,"Anniversary_3_2",3,46,348.78,"Lo",1,20,30,4.06580758807588
"3","Anniversary",3,3,"Anniversary_3_3",1,8,19.07,"Lo",1,0,50,4.06580758807588
"4","Anniversary",15,1,"Anniversary_15_1",5,16,1068.39,"Lo",3,0,90,4.06580758807588
"5","Anniversary",15,2,"Anniversary_15_2",1,3,13.23,"Lo",2,0,70,4.06580758807588
"6","Anniversary",15,3,"Anniversary_15_3",3,47,9442.15,"Lo",3,0,20,4.06580758807588
"7","Anniversary",15,4,"Anniversary_15_4",2,14,44.36,"Lo",2,0,90,4.06580758807588
"8","Burial",3,1,"Burial_3_1",3,9,5985.91,"Hi",2,0,80,29.8682926829268
"9","Burial",3,2,"Burial_3_2",1,1,146.19,"Hi",2,0,100,29.8682926829268
"10","Burial",3,3,"Burial_3_3",3,6,16.09,"Hi",4,30,40,29.8682926829268
"11","Burial",3,4,"Burial_3_4",1,10,7.96,"Hi",2,10,70,29.8682926829268
"12","Burial",15,1,"Burial_15_1",3,12,45.56,"Hi",4,0,40,29.8682926829268
"13","Burial",15,2,"Burial_15_2",4,30,39.61,"Hi",3,0,0,29.8682926829268
"14","Burial",15,3,"Burial_15_3",1,24,11.86,"Hi",5,60,0,29.8682926829268
"15","Burial",15,4,"Burial_15_4",4,20,196.44,"Hi",1,30,20,29.8682926829268
"16","Coffin",3,1,"Coffin_3_1",6,26,82.23,"Lo",4,11.1111111111111,100,4.09388245257453
"17","Coffin",3,2,"Coffin_3_2",4,10,17.39,"Lo",3,0,100,4.09388245257453
"18","Coffin",3,3,"Coffin_3_3",3,7,6.97,"Lo",3,0,100,4.09388245257453
"19","Coffin",15,1,"Coffin_15_1",5,16,191.04,"Lo",3,0,50,4.09388245257453
"20","Coffin",15,2,"Coffin_15_2",4,15,393.29,"Lo",3,30,90,4.09388245257453
"21","Coffin",15,3,"Coffin_15_3",5,32,88.43,"Lo",3,10,60,4.09388245257453
"22","Dragon",3,1,"Dragon_3_1",5,22,389,"Lo",2,60,100,4.22631961382114
"23","Dragon",3,2,"Dragon_3_2",4,19,242.44,"Lo",4,10,20,4.22631961382114
"24","Dragon",3,3,"Dragon_3_3",5,11,63.86,"Lo",2,10,0,4.22631961382114
"25","Dragon",3,4,"Dragon_3_4",4,14,1149.48,"Lo",3,80,50,4.22631961382114
"26","Dragon",15,1,"Dragon_15_1",5,27,5031.31,"Lo",4,10,50,4.22631961382114
"27","Dragon",15,2,"Dragon_15_2",5,13,1907.78,"Lo",1,0,0,4.22631961382114
"28","Dragon",15,3,"Dragon_15_3",3,35,4739.57,"Lo",4,10,20,4.22631961382114
"29","Dragon",15,4,"Dragon_15_4",6,22,1912.1,"Lo",3,0,0,4.22631961382114
"30","Georgina",3,1,"Georgina_3_1",3,7,9516.84,"Hi",2,0,100,10.4706615853659
"31","Georgina",3,2,"Georgina_3_2",4,4,4641.6,"Hi",2,0,100,10.4706615853659
"32","Georgina",3,3,"Georgina_3_3",2,2,105.24,"Hi",3,20,70,10.4706615853659
"33","Georgina",15,1,"Georgina_15_1",7,46,4282.71,"Hi",5,10,70,10.4706615853659
"34","Georgina",15,2,"Georgina_15_2",5,37,1010.88,"Hi",2,12.5,80,10.4706615853659
"35","Georgina",15,3,"Georgina_15_3",7,58,343.9,"Hi",4,10,10,10.4706615853659
"36","Grainger",3,1,"Grainger_3_1",1,3,0.78,"Hi",2,0,90,19.5821873306233
"37","Grainger",3,2,"Grainger_3_2",2,2,81.61,"Hi",2,0,100,19.5821873306233
"38","Grainger",3,3,"Grainger_3_3",6,17,3083.92,"Hi",1,10,70,19.5821873306233
"39","Grainger",15,1,"Grainger_15_1",6,37,10705.87,"Hi",2,20,0,19.5821873306233
"40","Grainger",15,2,"Grainger_15_2",4,43,8086.18,"Hi",1,20,0,19.5821873306233
"41","Grainger",15,3,"Grainger_15_3",4,70,1073.46,"Hi",1,50,0,19.5821873306233
"42","Josef",3,1,"Josef_3_1",4,14,1259.37,"Hi",1,0,100,14.8420929878049
"43","Josef",3,2,"Josef_3_2",6,19,3447.54,"Hi",2,33.3333333333333,60,14.8420929878049
"44","Josef",3,3,"Josef_3_3",4,14,1059.85,"Hi",2,60,100,14.8420929878049
"45","Josef",15,1,"Josef_15_1",5,36,8753.45,"Hi",2,40,0,14.8420929878049
"46","Josef",15,2,"Josef_15_2",6,43,19635.5,"Hi",4,40,0,14.8420929878049
"47","Josef",15,3,"Josef_15_3",5,40,2039.45,"Hi",2,20,0,14.8420929878049
"48","McKenzie",3,1,"McKenzie_3_1",5,19,2716.57,"Lo",5,0,90,1.32736636178862
"49","McKenzie",3,2,"McKenzie_3_2",3,15,92.67,"Lo",4,30,100,1.32736636178862
"50","McKenzie",3,3,"McKenzie_3_3",5,28,130.43,"Lo",4,0,100,1.32736636178862
"51","McKenzie",3,4,"McKenzie_3_4",5,24,90.11,"Lo",3,20,70,1.32736636178862
"52","McKenzie",15,1,"McKenzie_15_1",5,13,1401.23,"Lo",2,10,0,1.32736636178862
"53","McKenzie",15,2,"McKenzie_15_2",6,27,620.36,"Lo",3,30,0,1.32736636178862
"54","McKenzie",15,3,"McKenzie_15_3",5,22,13815.55,"Lo",3,0,0,1.32736636178862
"55","McKenzie",15,4,"McKenzie_15_4",6,14,66.11,"Lo",2,0,0,1.32736636178862
"56","Porlier",3,1,"Porlier_3_1",3,15,4955.23,"Hi",5,11.1111111111111,100,64.0384818766938
"57","Porlier",3,2,"Porlier_3_2",3,11,7847.72,"Hi",2,50,100,64.0384818766938
"58","Porlier",3,3,"Porlier_3_3",6,19,17782.69,"Hi",2,60,70,64.0384818766938
"59","Porlier",15,1,"Porlier_15_1",7,46,8713.68,"Hi",3,0,10,64.0384818766938
"60","Porlier",15,2,"Porlier_15_2",7,59,1881.66,"Hi",2,80,0,64.0384818766938
"61","Porlier",15,3,"Porlier_15_3",7,65,5713.31,"Hi",3,70,20,64.0384818766938
"62","Snake",3,1,"Snake_3_1",1,1,1.86,"Lo",4,0,50,6.74896697154472
"63","Snake",3,2,"Snake_3_2",5,21,6263.96,"Lo",4,10,90,6.74896697154472
"64","Snake",3,3,"Snake_3_3",2,9,954.26,"Lo",3,0,30,6.74896697154472
"65","Snake",3,4,"Snake_3_4",5,9,16.36,"Lo",2,0,30,6.74896697154472
"66","Snake",15,1,"Snake_15_1",3,28,7571.81,"Lo",3,0,90,6.74896697154472
"67","Snake",15,2,"Snake_15_2",5,80,4993.69,"Lo",4,20,0,6.74896697154472
"68","Snake",15,3,"Snake_15_3",5,49,1145.93,"Lo",3,10,0,6.74896697154472
"69","Snake",15,4,"Snake_15_4",5,38,10212.96,"Lo",1,0,0,6.74896697154472
